,Artist,Title
0,Morgan Wallen,Last Night
1,SZA,Kill Bill
2,Miley Cyrus,Flowers
3,Eslabon Armado X Peso Pluma,Ella Baila Sola
4,Rema & Selena Gomez,Calm Down
5,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
6,Grupo Frontera X Bad Bunny,Un x100to
7,Toosii,Favorite Song
8,The Weeknd & Ariana Grande,Die For You
9,Taylor Swift,Anti-Hero
10,Luke Combs,Fast Car
11,PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
12,Yng Lvcas x Peso Pluma,La Bebe
13,Miguel,Sure Thing
14,Drake,Search & Rescue
15,Bailey Zimmerman,Rock And A Hard Place
16,Fifty Fifty,Cupid
17,Morgan Wallen,You Proof
18,Ed Sheeran,Eyes Closed
19,Coi Leray,Players
20,Post Malone,Chemical
21,Zach Bryan,Something In The Orange
22,Harry Styles,As It Was
23,Morgan Wallen,Thinkin' Bout Me
24,Tyler Hubbard,Dancin' In The Country
25,David Guetta & Bebe Rexha,I'm Good (Blue)
26,Morgan Wallen,One Thing At A Time
27,Kane Brown With Katelyn Brown,Thank God
28,Morgan Wallen,Thought You Should Know
29,Megan Moroney,Tennessee Orange
30,SZA,Snooze
31,Chris Brown,Under The Influence
32,Ice Spice & Nicki Minaj,Princess Diana
33,Peso Pluma,Por Las Noches
34,Taylor Swift,Karma
35,Peso Pluma X Natanael Cano,PRC
36,Sam Smith & Kim Petras,Unholy
37,Lil Uzi Vert,Just Wanna Rock
38,Jordan Davis,Next Thing You Know
39,Corey Kent,Wild As Her
40,NLE Choppa,Slut Me Out
41,Drake & 21 Savage,Spin Bout U
42,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
43,Karol G x Shakira,TQG
44,"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG
45,"Tyler, The Creator Featuring Kali Uchis",See You Again
46,Parker McCollum,Handle On You
47,Drake & 21 Savage,Rich Flex
48,RAYE Featuring 070 Shake,Escapism
49,Taylor Swift,Lavender Haze
50,The Weeknd Featuring Future,Double Fantasy
51,Luke Combs,Love You Anyway
52,David Kushner,Daylight
53,Kali,Area Codes
54,Becky G & Peso Pluma,Chanel
55,Junior H x Peso Pluma,El Azul
56,Fuerza Regida X Grupo Frontera,Bebe Dame
57,Chino Pacas,El Gordo Trae El Mando
58,Lil Baby,Go Hard
59,Sabrina Carpenter,Nonsense
60,Morgan Wallen Featuring ERNEST,Cowgirls
61,Jelly Roll,Need A Favor
62,Lil Baby,Low Down
63,Cody Johnson,Human
64,Morgan Wallen,Ain't That Some
65,Bailey Zimmerman,Religiously
66,Coco Jones,ICU
67,Rod Wave,Fight The Feeling
68,Nicki Minaj,Red Ruby Da Sleeze
69,Old Dominion,Memory Lane
70,Rosalia & Rauw Alejandro,Beso
71,Yahritza y Su Esencia x Grupo Frontera,Fragil
72,Carin Leon X Grupo Frontera,Que Vuelvas
73,Scotty McCreery,It Matters To Her
74,Morgan Wallen,I Wrote The Book
75,"Metro Boomin, Travis Scott & Young Thug",Trance
76,Yandel & Feid,Yandel 150
77,Superstar Pride,Painting Pictures
78,Morgan Wallen,Everything I Love
79,Fuerza Regida X Natanael Cano,Ch y La Pizza
80,Morgan Wallen Featuring Eric Church,Man Made A Bar
81,Jonas Brothers,Waffle House
82,"Anuel AA, Mambo Kingz & DJ Luian",Mejor Que Yo
83,Ice Spice,In Ha Mood
84,Fuerza Regida & Peso Pluma,Igualito A Mi Apa
85,Kali Uchis,Moonlight
86,Lil Baby Featuring Fridayy,Forever
87,Justin Moore & Priscilla Block,"You, Me, & Whiskey"
88,Morgan Wallen,Sunrise
89,Lil Mabu,Mathematical Disrespect
90,Lizzy McAlpine,Ceilings
91,DaBaby,Shake Sumn
92,Libianca,People
93,Labrinth,Never Felt So Alone
94,NF,Happy
95,Nate Smith,Wreckage
96,Ed Sheeran,Curtains
97,Doechii Featuring Kodak Black,What It Is (Block Boy)
98,Jack Black,Peaches
99,Don Toliver Featuring Justin Bieber & Future,Private Landing
