Song ID,Song Name,Artist Name
6oEVnWKgPqIEPc53OYDNqG,Could've Been (feat. Bryson Tiller),H.E.R.
0Aa3g9EQoPNt6PiKjaUeb7,Every Kind Of Way,H.E.R.
29he0Joo5sz2607A6ZBT6H,Come Through (feat. Chris Brown),H.E.R.
6MO2bfLHKykUgCChFdw91H,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",H.E.R.
3tZs3nVjySLbL320lP4mvs,Focus,H.E.R.
3MlQPB0wJuopo3NTZGlMpI,Where I Go (feat. H.E.R.),H.E.R.
428JUvntvW20r9hOOpFAao,Slide,H.E.R.
2azM2WRIpQiB9ALfVmYtlW,Damage,H.E.R.
3f3cliOygeuUpGRwdohy12,Comfortable,H.E.R.
2sXydP9vPEYUH4uAWotuGu,Girl Like Me (feat. H.E.R.),H.E.R.
4ZaRg5Sf4TKr0YcFRLh7QJ,Love Affair,UMI
630Ug0XtmhhFvAKo0PNuEI,Remember Me,UMI
0Bs3Lwzs8y9BzKUgvFXPUx,say im ur luv,UMI
4qkVALwOxCIEZ7I5gkZ3m4,Butterfly,UMI
5w4q9Es264UdYYr2AjnPhU,wish that i could,UMI
1K1b1rPjbbam1NXUPg4VrK,Lullaby,UMI
5HYSOEDwblGTVSh88TZnet,Midnight Blues,UMI
5QzdYVqeAPnlBfbuJQ2AaO,Down to Earth,UMI
26ao8h4lge7K2yltgKXrVc,moonlit room,UMI
45QSYGhKfviLSOJhos9lP9,sorry,UMI
15EPc80XuFrb2LmOzGjuRg,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink
4n358XQMHXd0xi6NazWdxr,Vex Oh (feat. Eight9FLY),GoldLink
6wOdpwaVrRtWlVSQNMBNQU,Some Girl (feat. Steve Lacy),GoldLink
564oa00vY05d1uYnTEAAmE,Herside Story,GoldLink
2p37Mfy2PWajgOS3i2aaep,"U Say (feat. Tyler, The Creator & Jay Prince)",GoldLink
5geeTRRcsIg0MS5TvtBtHU,"Crew REMIX (feat. Gucci Mane, Brent Faiyaz & Shy Glizzy)",GoldLink
